Region,School Year,Grade Level,Students
Region IV-B - MIMAROPA,2018-2019,Grade 11 (ARTs & DESIGN),200.0
Region V - Bicol Region,2018-2019,Grade 11 (ARTs & DESIGN),463.0
Region VI - Western Visayas,2018-2019,Grade 11 (ARTs & DESIGN),228.0
Region VII - Central Visayas,2018-2019,Grade 11 (ARTs & DESIGN),210.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (ARTs & DESIGN),38.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (ARTs & DESIGN),113.0
Region X - Northern Mindanao,2018-2019,Grade 11 (ARTs & DESIGN),127.0
Region XI - Davao Region,2018-2019,Grade 11 (ARTs & DESIGN),110.0
Region XII - Soccsksargen,2018-2019,Grade 11 (ARTs & DESIGN),232.0
CARAGA - CARAGA,2018-2019,Grade 11 (ARTs & DESIGN),74.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (ARTs & DESIGN),99.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (ARTs & DESIGN),44.0
NCR - National Capital Region,2018-2019,Grade 11 (ARTs & DESIGN),613.0
Region I - Ilocos Region,2019-2020,Grade 11 (ARTs & DESIGN),243.0
Region II - Cagayan Valley,2019-2020,Grade 11 (ARTs & DESIGN),169.0
Region III - Central Luzon,2019-2020,Grade 11 (ARTs & DESIGN),169.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (ARTs & DESIGN),512.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (ARTs & DESIGN),252.0
Region V - Bicol Region,2019-2020,Grade 11 (ARTs & DESIGN),540.0
Region VI - Western Visayas,2019-2020,Grade 11 (ARTs & DESIGN),231.0
Region VII - Central Visayas,2019-2020,Grade 11 (ARTs & DESIGN),323.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (ARTs & DESIGN),98.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (ARTs & DESIGN),164.0
Region X - Northern Mindanao,2019-2020,Grade 11 (ARTs & DESIGN),103.0
Region XI - Davao Region,2019-2020,Grade 11 (ARTs & DESIGN),139.0
Region XII - Soccsksargen,2019-2020,Grade 11 (ARTs & DESIGN),274.0
CARAGA - CARAGA,2019-2020,Grade 11 (ARTs & DESIGN),164.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (ARTs & DESIGN),52.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (ARTs & DESIGN),46.0
NCR - National Capital Region,2019-2020,Grade 11 (ARTs & DESIGN),587.0
Region I - Ilocos Region,2020-2021,Grade 11 (ARTs & DESIGN),125.0
Region II - Cagayan Valley,2020-2021,Grade 11 (ARTs & DESIGN),118.0
Region III - Central Luzon,2020-2021,Grade 11 (ARTs & DESIGN),170.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (ARTs & DESIGN),325.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (ARTs & DESIGN),186.0
Region V - Bicol Region,2020-2021,Grade 11 (ARTs & DESIGN),453.0
Region VI - Western Visayas,2020-2021,Grade 11 (ARTs & DESIGN),201.0
Region VII - Central Visayas,2020-2021,Grade 11 (ARTs & DESIGN),258.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (ARTs & DESIGN),50.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (ARTs & DESIGN),78.0
Region X - Northern Mindanao,2020-2021,Grade 11 (ARTs & DESIGN),50.0
Region XI - Davao Region,2020-2021,Grade 11 (ARTs & DESIGN),70.0
Region XII - Soccsksargen,2020-2021,Grade 11 (ARTs & DESIGN),264.0
CARAGA - CARAGA,2020-2021,Grade 11 (ARTs & DESIGN),173.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (ARTs & DESIGN),21.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (ARTs & DESIGN),46.0
NCR - National Capital Region,2020-2021,Grade 11 (ARTs & DESIGN),507.0
Region I - Ilocos Region,2016-2017,Grade 11 (SPORTs),49.0
Region II - Cagayan Valley,2016-2017,Grade 11 (SPORTs),135.0
Region III - Central Luzon,2016-2017,Grade 11 (SPORTs),224.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (SPORTs),79.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (SPORTs),128.0
Region V - Bicol Region,2016-2017,Grade 11 (SPORTs),157.0
Region VI - Western Visayas,2016-2017,Grade 11 (SPORTs),82.0
Region VII - Central Visayas,2016-2017,Grade 11 (SPORTs),124.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (SPORTs),58.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (SPORTs),64.0
Region X - Northern Mindanao,2016-2017,Grade 11 (SPORTs),49.0
Region XI - Davao Region,2016-2017,Grade 11 (SPORTs),9.0
Region XII - Soccsksargen,2016-2017,Grade 11 (SPORTs),175.0
CARAGA - CARAGA,2016-2017,Grade 11 (SPORTs),29.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (SPORTs),31.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (SPORTs),35.0
NCR - National Capital Region,2016-2017,Grade 11 (SPORTs),205.0
Region I - Ilocos Region,2017-2018,Grade 11 (SPORTs),18.0
Region II - Cagayan Valley,2017-2018,Grade 11 (SPORTs),108.0
Region III - Central Luzon,2017-2018,Grade 11 (SPORTs),155.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (SPORTs),144.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (SPORTs),138.0
Region V - Bicol Region,2017-2018,Grade 11 (SPORTs),141.0
Region VI - Western Visayas,2017-2018,Grade 11 (SPORTs),89.0
Region VII - Central Visayas,2017-2018,Grade 11 (SPORTs),162.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (SPORTs),2.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (SPORTs),47.0
Region X - Northern Mindanao,2017-2018,Grade 11 (SPORTs),95.0
Region XI - Davao Region,2017-2018,Grade 11 (SPORTs),8.0
Region XII - Soccsksargen,2017-2018,Grade 11 (SPORTs),165.0
CARAGA - CARAGA,2017-2018,Grade 11 (SPORTs),39.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (SPORTs),44.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (SPORTs),43.0
NCR - National Capital Region,2017-2018,Grade 11 (SPORTs),145.0
Region I - Ilocos Region,2018-2019,Grade 11 (SPORTs),0.0
Region II - Cagayan Valley,2018-2019,Grade 11 (SPORTs),135.0
Region III - Central Luzon,2018-2019,Grade 11 (SPORTs),197.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (SPORTs),197.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (SPORTs),136.0
Region V - Bicol Region,2018-2019,Grade 11 (SPORTs),126.0
Region VI - Western Visayas,2018-2019,Grade 11 (SPORTs),145.0
Region VII - Central Visayas,2018-2019,Grade 11 (SPORTs),149.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (SPORTs),133.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (SPORTs),72.0
Region X - Northern Mindanao,2018-2019,Grade 11 (SPORTs),165.0
Region XI - Davao Region,2018-2019,Grade 11 (SPORTs),13.0
Region XII - Soccsksargen,2018-2019,Grade 11 (SPORTs),139.0
CARAGA - CARAGA,2018-2019,Grade 11 (SPORTs),61.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (SPORTs),22.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (SPORTs),52.0
NCR - National Capital Region,2018-2019,Grade 11 (SPORTs),217.0
Region I - Ilocos Region,2019-2020,Grade 11 (SPORTs),0.0
Region II - Cagayan Valley,2019-2020,Grade 11 (SPORTs),241.0
Region III - Central Luzon,2019-2020,Grade 11 (SPORTs),121.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (SPORTs),256.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (SPORTs),183.0
Region V - Bicol Region,2019-2020,Grade 11 (SPORTs),172.0
Region VI - Western Visayas,2019-2020,Grade 11 (SPORTs),166.0
Region VII - Central Visayas,2019-2020,Grade 11 (SPORTs),152.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (SPORTs),97.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (SPORTs),31.0
Region X - Northern Mindanao,2019-2020,Grade 11 (SPORTs),191.0
Region XI - Davao Region,2019-2020,Grade 11 (SPORTs),7.0
Region XII - Soccsksargen,2019-2020,Grade 11 (SPORTs),154.0
CARAGA - CARAGA,2019-2020,Grade 11 (SPORTs),60.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (SPORTs),28.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (SPORTs),77.0
NCR - National Capital Region,2019-2020,Grade 11 (SPORTs),273.0
Region I - Ilocos Region,2020-2021,Grade 11 (SPORTs),0.0
Region II - Cagayan Valley,2020-2021,Grade 11 (SPORTs),177.0
Region III - Central Luzon,2020-2021,Grade 11 (SPORTs),132.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (SPORTs),203.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (SPORTs),125.0
Region V - Bicol Region,2020-2021,Grade 11 (SPORTs),127.0
Region VI - Western Visayas,2020-2021,Grade 11 (SPORTs),89.0
Region VII - Central Visayas,2020-2021,Grade 11 (SPORTs),182.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (SPORTs),126.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (SPORTs),61.0
Region X - Northern Mindanao,2020-2021,Grade 11 (SPORTs),91.0
Region XI - Davao Region,2020-2021,Grade 11 (SPORTs),7.0
Region XII - Soccsksargen,2020-2021,Grade 11 (SPORTs),104.0
CARAGA - CARAGA,2020-2021,Grade 11 (SPORTs),17.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (SPORTs),28.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (SPORTs),69.0
NCR - National Capital Region,2020-2021,Grade 11 (SPORTs),274.0
Region I - Ilocos Region,2016-2017,Grade 11 (HUMSS),3539.0
Region II - Cagayan Valley,2016-2017,Grade 11 (HUMSS),2395.0
Region III - Central Luzon,2016-2017,Grade 11 (HUMSS),6564.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (HUMSS),8164.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (HUMSS),2100.0
Region V - Bicol Region,2016-2017,Grade 11 (HUMSS),2181.0
Region VI - Western Visayas,2016-2017,Grade 11 (HUMSS),7278.0
Region VII - Central Visayas,2016-2017,Grade 11 (HUMSS),4318.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (HUMSS),7872.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (HUMSS),1845.0
Region X - Northern Mindanao,2016-2017,Grade 11 (HUMSS),3162.0
Region XI - Davao Region,2016-2017,Grade 11 (HUMSS),2140.0
Region XII - Soccsksargen,2016-2017,Grade 11 (HUMSS),7382.0
CARAGA - CARAGA,2016-2017,Grade 11 (HUMSS),1527.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (HUMSS),882.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (HUMSS),1386.0
NCR - National Capital Region,2016-2017,Grade 11 (HUMSS),2182.0
Region I - Ilocos Region,2017-2018,Grade 11 (HUMSS),6253.0
Region II - Cagayan Valley,2017-2018,Grade 11 (HUMSS),3776.0
Region III - Central Luzon,2017-2018,Grade 11 (HUMSS),8290.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (HUMSS),13278.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (HUMSS),2966.0
Region V - Bicol Region,2017-2018,Grade 11 (HUMSS),3138.0
Region VI - Western Visayas,2017-2018,Grade 11 (HUMSS),11604.0
Region VII - Central Visayas,2017-2018,Grade 11 (HUMSS),5728.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (HUMSS),8969.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (HUMSS),3093.0
Region X - Northern Mindanao,2017-2018,Grade 11 (HUMSS),4226.0
Region XI - Davao Region,2017-2018,Grade 11 (HUMSS),2935.0
Region XII - Soccsksargen,2017-2018,Grade 11 (HUMSS),9248.0
CARAGA - CARAGA,2017-2018,Grade 11 (HUMSS),2491.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (HUMSS),1018.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (HUMSS),1761.0
NCR - National Capital Region,2017-2018,Grade 11 (HUMSS),3954.0
Region I - Ilocos Region,2018-2019,Grade 11 (HUMSS),9372.0
Region II - Cagayan Valley,2018-2019,Grade 11 (HUMSS),6927.0
Region III - Central Luzon,2018-2019,Grade 11 (HUMSS),12509.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (HUMSS),18402.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (HUMSS),4994.0
Region V - Bicol Region,2018-2019,Grade 11 (HUMSS),4935.0
Region VI - Western Visayas,2018-2019,Grade 11 (HUMSS),18144.0
Region VII - Central Visayas,2018-2019,Grade 11 (HUMSS),9009.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (HUMSS),11112.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (HUMSS),6454.0
Region X - Northern Mindanao,2018-2019,Grade 11 (HUMSS),7531.0
Region XI - Davao Region,2018-2019,Grade 11 (HUMSS),5017.0
Region XII - Soccsksargen,2018-2019,Grade 11 (HUMSS),13272.0
CARAGA - CARAGA,2018-2019,Grade 11 (HUMSS),3838.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (HUMSS),1503.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (HUMSS),3276.0
NCR - National Capital Region,2018-2019,Grade 11 (HUMSS),5874.0
Region I - Ilocos Region,2019-2020,Grade 11 (HUMSS),12858.0
Region II - Cagayan Valley,2019-2020,Grade 11 (HUMSS),10213.0
Region III - Central Luzon,2019-2020,Grade 11 (HUMSS),18864.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (HUMSS),26869.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (HUMSS),8326.0
Region V - Bicol Region,2019-2020,Grade 11 (HUMSS),7039.0
Region VI - Western Visayas,2019-2020,Grade 11 (HUMSS),24978.0
Region VII - Central Visayas,2019-2020,Grade 11 (HUMSS),12902.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (HUMSS),14038.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (HUMSS),7873.0
Region X - Northern Mindanao,2019-2020,Grade 11 (HUMSS),9666.0
Region XI - Davao Region,2019-2020,Grade 11 (HUMSS),6637.0
Region XII - Soccsksargen,2019-2020,Grade 11 (HUMSS),16382.0
CARAGA - CARAGA,2019-2020,Grade 11 (HUMSS),4304.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (HUMSS),2316.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (HUMSS),4161.0
NCR - National Capital Region,2019-2020,Grade 11 (HUMSS),9097.0
Region I - Ilocos Region,2020-2021,Grade 11 (HUMSS),17645.0
Region II - Cagayan Valley,2020-2021,Grade 11 (HUMSS),14676.0
Region III - Central Luzon,2020-2021,Grade 11 (HUMSS),28916.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (HUMSS),38909.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (HUMSS),11086.0
Region V - Bicol Region,2020-2021,Grade 11 (HUMSS),8076.0
Region VI - Western Visayas,2020-2021,Grade 11 (HUMSS),31585.0
Region VII - Central Visayas,2020-2021,Grade 11 (HUMSS),17932.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (HUMSS),18304.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (HUMSS),12830.0
Region X - Northern Mindanao,2020-2021,Grade 11 (HUMSS),14082.0
Region XI - Davao Region,2020-2021,Grade 11 (HUMSS),9577.0
Region XII - Soccsksargen,2020-2021,Grade 11 (HUMSS),24243.0
CARAGA - CARAGA,2020-2021,Grade 11 (HUMSS),6755.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (HUMSS),2702.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (HUMSS),6544.0
NCR - National Capital Region,2020-2021,Grade 11 (HUMSS),12928.0
Region I - Ilocos Region,2016-2017,Grade 11 (ABM),3991.0
Region II - Cagayan Valley,2016-2017,Grade 11 (ABM),2357.0
Region III - Central Luzon,2016-2017,Grade 11 (ABM),8463.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (ABM),10037.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (ABM),2188.0
Region V - Bicol Region,2016-2017,Grade 11 (ABM),3442.0
Region VI - Western Visayas,2016-2017,Grade 11 (ABM),5088.0
Region VII - Central Visayas,2016-2017,Grade 11 (ABM),3634.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (ABM),3519.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (ABM),1585.0
Region X - Northern Mindanao,2016-2017,Grade 11 (ABM),2793.0
Region XI - Davao Region,2016-2017,Grade 11 (ABM),1366.0
Region XII - Soccsksargen,2016-2017,Grade 11 (ABM),2734.0
CARAGA - CARAGA,2016-2017,Grade 11 (ABM),907.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (ABM),906.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (ABM),749.0
NCR - National Capital Region,2016-2017,Grade 11 (ABM),5870.0
Region I - Ilocos Region,2017-2018,Grade 11 (ABM),4549.0
Region II - Cagayan Valley,2017-2018,Grade 11 (ABM),3020.0
Region III - Central Luzon,2017-2018,Grade 11 (ABM),7972.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (ABM),10506.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (ABM),1863.0
Region V - Bicol Region,2017-2018,Grade 11 (ABM),3592.0
Region VI - Western Visayas,2017-2018,Grade 11 (ABM),4962.0
Region VII - Central Visayas,2017-2018,Grade 11 (ABM),3197.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (ABM),2844.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (ABM),1571.0
Region X - Northern Mindanao,2017-2018,Grade 11 (ABM),2664.0
Region XI - Davao Region,2017-2018,Grade 11 (ABM),1205.0
Region XII - Soccsksargen,2017-2018,Grade 11 (ABM),2394.0
CARAGA - CARAGA,2017-2018,Grade 11 (ABM),1401.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (ABM),875.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (ABM),912.0
NCR - National Capital Region,2017-2018,Grade 11 (ABM),6318.0
Region I - Ilocos Region,2018-2019,Grade 11 (ABM),4585.0
Region II - Cagayan Valley,2018-2019,Grade 11 (ABM),3160.0
Region III - Central Luzon,2018-2019,Grade 11 (ABM),9866.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (ABM),12494.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (ABM),2252.0
Region V - Bicol Region,2018-2019,Grade 11 (ABM),4483.0
Region VI - Western Visayas,2018-2019,Grade 11 (ABM),6450.0
Region VII - Central Visayas,2018-2019,Grade 11 (ABM),4139.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (ABM),3304.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (ABM),2074.0
Region X - Northern Mindanao,2018-2019,Grade 11 (ABM),3462.0
Region XI - Davao Region,2018-2019,Grade 11 (ABM),2013.0
Region XII - Soccsksargen,2018-2019,Grade 11 (ABM),2990.0
CARAGA - CARAGA,2018-2019,Grade 11 (ABM),1804.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (ABM),895.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (ABM),1014.0
NCR - National Capital Region,2018-2019,Grade 11 (ABM),7335.0
Region I - Ilocos Region,2019-2020,Grade 11 (ABM),5115.0
Region II - Cagayan Valley,2019-2020,Grade 11 (ABM),2887.0
Region III - Central Luzon,2019-2020,Grade 11 (ABM),10340.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (ABM),13620.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (ABM),2574.0
Region V - Bicol Region,2019-2020,Grade 11 (ABM),4484.0
Region VI - Western Visayas,2019-2020,Grade 11 (ABM),6713.0
Region VII - Central Visayas,2019-2020,Grade 11 (ABM),4793.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (ABM),3644.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (ABM),2222.0
Region X - Northern Mindanao,2019-2020,Grade 11 (ABM),3296.0
Region XI - Davao Region,2019-2020,Grade 11 (ABM),2151.0
Region XII - Soccsksargen,2019-2020,Grade 11 (ABM),2820.0
CARAGA - CARAGA,2019-2020,Grade 11 (ABM),1882.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (ABM),878.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (ABM),1174.0
NCR - National Capital Region,2019-2020,Grade 11 (ABM),8076.0
Region I - Ilocos Region,2020-2021,Grade 11 (ABM),5602.0
Region II - Cagayan Valley,2020-2021,Grade 11 (ABM),3299.0
Region III - Central Luzon,2020-2021,Grade 11 (ABM),13236.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (ABM),17855.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (ABM),2929.0
Region V - Bicol Region,2020-2021,Grade 11 (ABM),4692.0
Region VI - Western Visayas,2020-2021,Grade 11 (ABM),7517.0
Region VII - Central Visayas,2020-2021,Grade 11 (ABM),5751.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (ABM),4410.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (ABM),2564.0
Region X - Northern Mindanao,2020-2021,Grade 11 (ABM),3891.0
Region XI - Davao Region,2020-2021,Grade 11 (ABM),2709.0
Region XII - Soccsksargen,2020-2021,Grade 11 (ABM),3657.0
CARAGA - CARAGA,2020-2021,Grade 11 (ABM),2001.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (ABM),798.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (ABM),1273.0
NCR - National Capital Region,2020-2021,Grade 11 (ABM),11312.0
Region I - Ilocos Region,2017-2018,Grade 12 (SPORTs),36.0
Region II - Cagayan Valley,2017-2018,Grade 12 (SPORTs),128.0
Region III - Central Luzon,2017-2018,Grade 12 (SPORTs),159.0
Region IV-A - CALABARZON,2017-2018,Grade 12 (SPORTs),72.0
Region IV-B - MIMAROPA,2017-2018,Grade 12 (SPORTs),135.0
Region V - Bicol Region,2017-2018,Grade 12 (SPORTs),119.0
Region VI - Western Visayas,2017-2018,Grade 12 (SPORTs),75.0
Region VII - Central Visayas,2017-2018,Grade 12 (SPORTs),124.0
Region VIII - Eastern Visayas,2017-2018,Grade 12 (SPORTs),54.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 12 (SPORTs),48.0
Region X - Northern Mindanao,2017-2018,Grade 12 (SPORTs),38.0
Region XI - Davao Region,2017-2018,Grade 12 (SPORTs),9.0
Region XII - Soccsksargen,2017-2018,Grade 12 (SPORTs),134.0
CARAGA - CARAGA,2017-2018,Grade 12 (SPORTs),25.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 12 (SPORTs),20.0
CAR - Cordillera Administrative Region,2017-2018,Grade 12 (SPORTs),32.0
NCR - National Capital Region,2017-2018,Grade 12 (SPORTs),160.0
Region I - Ilocos Region,2018-2019,Grade 12 (SPORTs),17.0
Region II - Cagayan Valley,2018-2019,Grade 12 (SPORTs),109.0
Region III - Central Luzon,2018-2019,Grade 12 (SPORTs),168.0
Region IV-A - CALABARZON,2018-2019,Grade 12 (SPORTs),197.0
Region IV-B - MIMAROPA,2018-2019,Grade 12 (SPORTs),112.0
Region V - Bicol Region,2018-2019,Grade 12 (SPORTs),126.0
Region VI - Western Visayas,2018-2019,Grade 12 (SPORTs),76.0
Region VII - Central Visayas,2018-2019,Grade 12 (SPORTs),147.0
Region VIII - Eastern Visayas,2018-2019,Grade 12 (SPORTs),38.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 12 (SPORTs),43.0
Region X - Northern Mindanao,2018-2019,Grade 12 (SPORTs),101.0
Region XI - Davao Region,2018-2019,Grade 12 (SPORTs),8.0
Region XII - Soccsksargen,2018-2019,Grade 12 (SPORTs),148.0
CARAGA - CARAGA,2018-2019,Grade 12 (SPORTs),30.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 12 (SPORTs),41.0
CAR - Cordillera Administrative Region,2018-2019,Grade 12 (SPORTs),39.0
NCR - National Capital Region,2018-2019,Grade 12 (SPORTs),148.0
Region I - Ilocos Region,2019-2020,Grade 12 (SPORTs),0.0
Region II - Cagayan Valley,2019-2020,Grade 12 (SPORTs),114.0
Region III - Central Luzon,2019-2020,Grade 12 (SPORTs),186.0
Region IV-A - CALABARZON,2019-2020,Grade 12 (SPORTs),189.0
Region IV-B - MIMAROPA,2019-2020,Grade 12 (SPORTs),124.0
Region V - Bicol Region,2019-2020,Grade 12 (SPORTs),121.0
Region VI - Western Visayas,2019-2020,Grade 12 (SPORTs),121.0
Region VII - Central Visayas,2019-2020,Grade 12 (SPORTs),131.0
Region VIII - Eastern Visayas,2019-2020,Grade 12 (SPORTs),114.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 12 (SPORTs),48.0
Region X - Northern Mindanao,2019-2020,Grade 12 (SPORTs),144.0
Region XI - Davao Region,2019-2020,Grade 12 (SPORTs),16.0
Region XII - Soccsksargen,2019-2020,Grade 12 (SPORTs),133.0
CARAGA - CARAGA,2019-2020,Grade 12 (SPORTs),60.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 12 (SPORTs),22.0
CAR - Cordillera Administrative Region,2019-2020,Grade 12 (SPORTs),44.0
NCR - National Capital Region,2019-2020,Grade 12 (SPORTs),183.0
Region I - Ilocos Region,2020-2021,Grade 12 (SPORTs),0.0
Region II - Cagayan Valley,2020-2021,Grade 12 (SPORTs),234.0
Region III - Central Luzon,2020-2021,Grade 12 (SPORTs),103.0
Region IV-A - CALABARZON,2020-2021,Grade 12 (SPORTs),196.0
Region IV-B - MIMAROPA,2020-2021,Grade 12 (SPORTs),166.0
Region V - Bicol Region,2020-2021,Grade 12 (SPORTs),143.0
Region VI - Western Visayas,2020-2021,Grade 12 (SPORTs),153.0
Region VII - Central Visayas,2020-2021,Grade 12 (SPORTs),143.0
Region VIII - Eastern Visayas,2020-2021,Grade 12 (SPORTs),105.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 12 (SPORTs),45.0
Region X - Northern Mindanao,2020-2021,Grade 12 (SPORTs),183.0
Region XI - Davao Region,2020-2021,Grade 12 (SPORTs),6.0
Region XII - Soccsksargen,2020-2021,Grade 12 (SPORTs),167.0
CARAGA - CARAGA,2020-2021,Grade 12 (SPORTs),54.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 12 (SPORTs),22.0
CAR - Cordillera Administrative Region,2020-2021,Grade 12 (SPORTs),68.0
NCR - National Capital Region,2020-2021,Grade 12 (SPORTs),209.0
Region I - Ilocos Region,2017-2018,Grade 12 (GAS),13351.0
