Region,School Year,Grade Level,Students
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (TVL),22390.0
Region X - Northern Mindanao,2020-2021,Grade 11 (TVL),18406.0
Region XI - Davao Region,2020-2021,Grade 11 (TVL),24649.0
Region XII - Soccsksargen,2020-2021,Grade 11 (TVL),20380.0
CARAGA - CARAGA,2020-2021,Grade 11 (TVL),14968.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (TVL),6907.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (TVL),5650.0
NCR - National Capital Region,2020-2021,Grade 11 (TVL),21699.0
Region I - Ilocos Region,2016-2017,Grade 11 (GAS),14881.0
Region II - Cagayan Valley,2016-2017,Grade 11 (GAS),11918.0
Region III - Central Luzon,2016-2017,Grade 11 (GAS),17375.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (GAS),13956.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (GAS),11180.0
Region V - Bicol Region,2016-2017,Grade 11 (GAS),25268.0
Region VI - Western Visayas,2016-2017,Grade 11 (GAS),23888.0
Region VII - Central Visayas,2016-2017,Grade 11 (GAS),16644.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (GAS),14515.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (GAS),6922.0
Region X - Northern Mindanao,2016-2017,Grade 11 (GAS),9235.0
Region XI - Davao Region,2016-2017,Grade 11 (GAS),7571.0
Region XII - Soccsksargen,2016-2017,Grade 11 (GAS),6037.0
CARAGA - CARAGA,2016-2017,Grade 11 (GAS),6527.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (GAS),5821.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (GAS),2558.0
NCR - National Capital Region,2016-2017,Grade 11 (GAS),5788.0
Region I - Ilocos Region,2017-2018,Grade 11 (GAS),16063.0
Region II - Cagayan Valley,2017-2018,Grade 11 (GAS),10663.0
Region III - Central Luzon,2017-2018,Grade 11 (GAS),17905.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (GAS),13656.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (GAS),11561.0
Region V - Bicol Region,2017-2018,Grade 11 (GAS),27002.0
Region VI - Western Visayas,2017-2018,Grade 11 (GAS),20905.0
Region VII - Central Visayas,2017-2018,Grade 11 (GAS),20498.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (GAS),14608.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (GAS),7476.0
Region X - Northern Mindanao,2017-2018,Grade 11 (GAS),8767.0
Region XI - Davao Region,2017-2018,Grade 11 (GAS),8516.0
Region XII - Soccsksargen,2017-2018,Grade 11 (GAS),5829.0
CARAGA - CARAGA,2017-2018,Grade 11 (GAS),7353.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (GAS),5899.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (GAS),2668.0
NCR - National Capital Region,2017-2018,Grade 11 (GAS),6266.0
Region I - Ilocos Region,2018-2019,Grade 11 (GAS),14705.0
Region II - Cagayan Valley,2018-2019,Grade 11 (GAS),9958.0
Region III - Central Luzon,2018-2019,Grade 11 (GAS),19106.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (GAS),11746.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (GAS),11590.0
Region V - Bicol Region,2018-2019,Grade 11 (GAS),31660.0
