Region,School Year,Grade Level,Students
Region III - Central Luzon,2015-2016,Kindergarten,188118.0
Region IV-A - CALABARZON,2015-2016,Kindergarten,206082.0
Region IV-B - MIMAROPA,2015-2016,Kindergarten,67015.0
Region V - Bicol Region,2015-2016,Kindergarten,131324.0
Region VI - Western Visayas,2015-2016,Kindergarten,126393.0
Region VII - Central Visayas,2015-2016,Kindergarten,127407.0
Region VIII - Eastern Visayas,2015-2016,Kindergarten,94032.0
Region IX - Zamboanga Peninsula,2015-2016,Kindergarten,71425.0
Region X - Northern Mindanao,2015-2016,Kindergarten,91727.0
Region XI - Davao Region,2015-2016,Kindergarten,99492.0
Region XII - Soccsksargen,2015-2016,Kindergarten,89045.0
CARAGA - CARAGA,2015-2016,Kindergarten,57132.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2015-2016,Kindergarten,73283.0
CAR - Cordillera Administrative Region,2015-2016,Kindergarten,29274.0
NCR - National Capital Region,2015-2016,Kindergarten,135617.0
Region I - Ilocos Region,2016-2017,Kindergarten,74712.0
Region II - Cagayan Valley,2016-2017,Kindergarten,54511.0
Region III - Central Luzon,2016-2017,Kindergarten,169474.0
Region IV-A - CALABARZON,2016-2017,Kindergarten,206206.0
Region IV-B - MIMAROPA,2016-2017,Kindergarten,58344.0
Region V - Bicol Region,2016-2017,Kindergarten,114726.0
Region VI - Western Visayas,2016-2017,Kindergarten,105468.0
Region VII - Central Visayas,2016-2017,Kindergarten,113273.0
Region VIII - Eastern Visayas,2016-2017,Kindergarten,85274.0
Region IX - Zamboanga Peninsula,2016-2017,Kindergarten,71050.0
Region X - Northern Mindanao,2016-2017,Kindergarten,85705.0
Region XI - Davao Region,2016-2017,Kindergarten,79307.0
Region XII - Soccsksargen,2016-2017,Kindergarten,81737.0
CARAGA - CARAGA,2016-2017,Kindergarten,49634.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Kindergarten,81325.0
CAR - Cordillera Administrative Region,2016-2017,Kindergarten,25759.0
NCR - National Capital Region,2016-2017,Kindergarten,140249.0
Region I - Ilocos Region,2017-2018,Kindergarten,94819.0
Region II - Cagayan Valley,2017-2018,Kindergarten,70196.0
Region III - Central Luzon,2017-2018,Kindergarten,214554.0
Region IV-A - CALABARZON,2017-2018,Kindergarten,271143.0
Region IV-B - MIMAROPA,2017-2018,Kindergarten,71306.0
Region V - Bicol Region,2017-2018,Kindergarten,141310.0
Region VI - Western Visayas,2017-2018,Kindergarten,147785.0
Region VII - Central Visayas,2017-2018,Kindergarten,155613.0
Region VIII - Eastern Visayas,2017-2018,Kindergarten,102989.0
Region IX - Zamboanga Peninsula,2017-2018,Kindergarten,85088.0
Region X - Northern Mindanao,2017-2018,Kindergarten,104814.0
Region XI - Davao Region,2017-2018,Kindergarten,106799.0
Region XII - Soccsksargen,2017-2018,Kindergarten,104145.0
CARAGA - CARAGA,2017-2018,Kindergarten,61657.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Kindergarten,87049.0
CAR - Cordillera Administrative Region,2017-2018,Kindergarten,30789.0
NCR - National Capital Region,2017-2018,Kindergarten,173266.0
Region I - Ilocos Region,2018-2019,Kindergarten,99218.0
Region II - Cagayan Valley,2018-2019,Kindergarten,75808.0
Region III - Central Luzon,2018-2019,Kindergarten,229032.0
Region IV-A - CALABARZON,2018-2019,Kindergarten,284579.0
Region IV-B - MIMAROPA,2018-2019,Kindergarten,74883.0
Region V - Bicol Region,2018-2019,Kindergarten,142250.0
Region VI - Western Visayas,2018-2019,Kindergarten,148546.0
Region VII - Central Visayas,2018-2019,Kindergarten,157454.0
Region VIII - Eastern Visayas,2018-2019,Kindergarten,105438.0
Region IX - Zamboanga Peninsula,2018-2019,Kindergarten,87087.0
Region X - Northern Mindanao,2018-2019,Kindergarten,113207.0
Region XI - Davao Region,2018-2019,Kindergarten,108435.0
Region XII - Soccsksargen,2018-2019,Kindergarten,108276.0
CARAGA - CARAGA,2018-2019,Kindergarten,66344.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Kindergarten,96939.0
CAR - Cordillera Administrative Region,2018-2019,Kindergarten,33446.0
NCR - National Capital Region,2018-2019,Kindergarten,179733.0
Region I - Ilocos Region,2019-2020,Kindergarten,75959.0
Region II - Cagayan Valley,2019-2020,Kindergarten,57425.0
Region III - Central Luzon,2019-2020,Kindergarten,183366.0
Region IV-A - CALABARZON,2019-2020,Kindergarten,235657.0
Region IV-B - MIMAROPA,2019-2020,Kindergarten,62580.0
Region V - Bicol Region,2019-2020,Kindergarten,126309.0
Region VI - Western Visayas,2019-2020,Kindergarten,121950.0
Region VII - Central Visayas,2019-2020,Kindergarten,137735.0
Region VIII - Eastern Visayas,2019-2020,Kindergarten,87663.0
Region IX - Zamboanga Peninsula,2019-2020,Kindergarten,79555.0
Region X - Northern Mindanao,2019-2020,Kindergarten,97570.0
Region XI - Davao Region,2019-2020,Kindergarten,94638.0
Region XII - Soccsksargen,2019-2020,Kindergarten,91535.0
CARAGA - CARAGA,2019-2020,Kindergarten,54921.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Kindergarten,96298.0
CAR - Cordillera Administrative Region,2019-2020,Kindergarten,26306.0
NCR - National Capital Region,2019-2020,Kindergarten,161609.0
Region I - Ilocos Region,2020-2021,Kindergarten,94116.0
Region II - Cagayan Valley,2020-2021,Kindergarten,71127.0
Region III - Central Luzon,2020-2021,Kindergarten,206499.0
Region IV-A - CALABARZON,2020-2021,Kindergarten,257811.0
Region IV-B - MIMAROPA,2020-2021,Kindergarten,71474.0
Region V - Bicol Region,2020-2021,Kindergarten,123345.0
Region VI - Western Visayas,2020-2021,Kindergarten,144282.0
Region VII - Central Visayas,2020-2021,Kindergarten,150235.0
Region VIII - Eastern Visayas,2020-2021,Kindergarten,99986.0
Region IX - Zamboanga Peninsula,2020-2021,Kindergarten,77264.0
Region X - Northern Mindanao,2020-2021,Kindergarten,100022.0
Region XI - Davao Region,2020-2021,Kindergarten,95418.0
Region XII - Soccsksargen,2020-2021,Kindergarten,95290.0
CARAGA - CARAGA,2020-2021,Kindergarten,60342.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Kindergarten,88218.0
CAR - Cordillera Administrative Region,2020-2021,Kindergarten,31801.0
NCR - National Capital Region,2020-2021,Kindergarten,160389.0
Region I - Ilocos Region,2010-2011,Grade 1,120004.0
Region II - Cagayan Valley,2010-2011,Grade 1,83959.0
Region III - Central Luzon,2010-2011,Grade 1,258235.0
Region IV-A - CALABARZON,2010-2011,Grade 1,311562.0
Region IV-B - MIMAROPA,2010-2011,Grade 1,100391.0
Region V - Bicol Region,2010-2011,Grade 1,213159.0
Region VI - Western Visayas,2010-2011,Grade 1,218036.0
Region VII - Central Visayas,2010-2011,Grade 1,210349.0
Region VIII - Eastern Visayas,2010-2011,Grade 1,153902.0
Region IX - Zamboanga Peninsula,2010-2011,Grade 1,139010.0
Region X - Northern Mindanao,2010-2011,Grade 1,148861.0
Region XI - Davao Region,2010-2011,Grade 1,164460.0
Region XII - Soccsksargen,2010-2011,Grade 1,140422.0
CARAGA - CARAGA,2010-2011,Grade 1,88740.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Grade 1,199242.0
CAR - Cordillera Administrative Region,2010-2011,Grade 1,45245.0
NCR - National Capital Region,2010-2011,Grade 1,241810.0
Region I - Ilocos Region,2011-2012,Grade 1,121170.0
Region II - Cagayan Valley,2011-2012,Grade 1,86154.0
Region III - Central Luzon,2011-2012,Grade 1,261290.0
Region IV-A - CALABARZON,2011-2012,Grade 1,329623.0
