Region,School Year,Grade Level,Students
Region IV-B - MIMAROPA,2015-2016,Grade 7,61440.0
Region V - Bicol Region,2015-2016,Grade 7,127813.0
Region VI - Western Visayas,2015-2016,Grade 7,140179.0
Region VII - Central Visayas,2015-2016,Grade 7,136120.0
Region VIII - Eastern Visayas,2015-2016,Grade 7,96219.0
Region IX - Zamboanga Peninsula,2015-2016,Grade 7,69650.0
Region X - Northern Mindanao,2015-2016,Grade 7,74576.0
Region XI - Davao Region,2015-2016,Grade 7,85451.0
Region XII - Soccsksargen,2015-2016,Grade 7,78329.0
CARAGA - CARAGA,2015-2016,Grade 7,52244.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2015-2016,Grade 7,39376.0
CAR - Cordillera Administrative Region,2015-2016,Grade 7,26433.0
NCR - National Capital Region,2015-2016,Grade 7,180614.0
Region I - Ilocos Region,2016-2017,Grade 7,89287.0
Region II - Cagayan Valley,2016-2017,Grade 7,57833.0
Region III - Central Luzon,2016-2017,Grade 7,186364.0
Region IV-A - CALABARZON,2016-2017,Grade 7,229303.0
Region IV-B - MIMAROPA,2016-2017,Grade 7,62435.0
Region V - Bicol Region,2016-2017,Grade 7,134194.0
Region VI - Western Visayas,2016-2017,Grade 7,142409.0
Region VII - Central Visayas,2016-2017,Grade 7,141720.0
Region VIII - Eastern Visayas,2016-2017,Grade 7,100071.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 7,74892.0
Region X - Northern Mindanao,2016-2017,Grade 7,80235.0
Region XI - Davao Region,2016-2017,Grade 7,93462.0
Region XII - Soccsksargen,2016-2017,Grade 7,81983.0
CARAGA - CARAGA,2016-2017,Grade 7,54836.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 7,41371.0
CAR - Cordillera Administrative Region,2016-2017,Grade 7,27431.0
NCR - National Capital Region,2016-2017,Grade 7,184954.0
Region I - Ilocos Region,2017-2018,Grade 7,91575.0
Region II - Cagayan Valley,2017-2018,Grade 7,59740.0
Region III - Central Luzon,2017-2018,Grade 7,187136.0
Region IV-A - CALABARZON,2017-2018,Grade 7,239737.0
Region IV-B - MIMAROPA,2017-2018,Grade 7,66785.0
Region V - Bicol Region,2017-2018,Grade 7,141475.0
Region VI - Western Visayas,2017-2018,Grade 7,154604.0
Region VII - Central Visayas,2017-2018,Grade 7,145688.0
Region VIII - Eastern Visayas,2017-2018,Grade 7,103454.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 7,81043.0
Region X - Northern Mindanao,2017-2018,Grade 7,86641.0
Region XI - Davao Region,2017-2018,Grade 7,100071.0
Region XII - Soccsksargen,2017-2018,Grade 7,90086.0
CARAGA - CARAGA,2017-2018,Grade 7,58072.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 7,40759.0
CAR - Cordillera Administrative Region,2017-2018,Grade 7,27856.0
NCR - National Capital Region,2017-2018,Grade 7,187456.0
Region I - Ilocos Region,2018-2019,Grade 7,96020.0
Region II - Cagayan Valley,2018-2019,Grade 7,66037.0
Region III - Central Luzon,2018-2019,Grade 7,200973.0
Region IV-A - CALABARZON,2018-2019,Grade 7,265377.0
Region IV-B - MIMAROPA,2018-2019,Grade 7,70492.0
Region V - Bicol Region,2018-2019,Grade 7,154898.0
Region VI - Western Visayas,2018-2019,Grade 7,176860.0
Region VII - Central Visayas,2018-2019,Grade 7,170006.0
Region VIII - Eastern Visayas,2018-2019,Grade 7,106839.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 7,94360.0
Region X - Northern Mindanao,2018-2019,Grade 7,96861.0
Region XI - Davao Region,2018-2019,Grade 7,111786.0
Region XII - Soccsksargen,2018-2019,Grade 7,97747.0
CARAGA - CARAGA,2018-2019,Grade 7,60392.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 7,45172.0
CAR - Cordillera Administrative Region,2018-2019,Grade 7,29931.0
NCR - National Capital Region,2018-2019,Grade 7,196030.0
Region I - Ilocos Region,2019-2020,Grade 7,93602.0
Region II - Cagayan Valley,2019-2020,Grade 7,63395.0
Region III - Central Luzon,2019-2020,Grade 7,198107.0
Region IV-A - CALABARZON,2019-2020,Grade 7,252911.0
Region IV-B - MIMAROPA,2019-2020,Grade 7,64415.0
Region V - Bicol Region,2019-2020,Grade 7,132293.0
Region VI - Western Visayas,2019-2020,Grade 7,156002.0
Region VII - Central Visayas,2019-2020,Grade 7,147746.0
Region VIII - Eastern Visayas,2019-2020,Grade 7,98759.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 7,82185.0
