School Year,Region,Teachers,Students,Student-to-Teacher Ratio
2014-2015,NCR - National Capital Region,35824.0,1373852.0,38.35004466279589
2014-2015,Region I - Ilocos Region,23071.0,725840.0,31.461141693034545
2014-2015,Region II - Cagayan Valley,16435.0,509546.0,31.00371159111652
2014-2015,Region III - Central Luzon,39972.0,1531136.0,38.30521364955469
2014-2015,Region IV-A - CALABARZON,45219.0,1865327.0,41.25095645635684
2014-2015,Region IV-B - MIMAROPA,15516.0,538262.0,34.69077081722093
2014-2015,Region IX - Zamboanga Peninsula,19077.0,656170.0,34.39586937149447
2014-2015,Region V - Bicol Region,30781.0,1099998.0,35.73626587830155
2014-2015,Region VI - Western Visayas,35854.0,1196985.0,33.38497796619624
2014-2015,Region VII - Central Visayas,31667.0,1180617.0,37.28224966052989
2014-2015,Region VIII - Eastern Visayas,25099.0,784965.0,31.274751982150683
2014-2015,Region X - Northern Mindanao,21078.0,761798.0,36.14185406585065
2014-2015,Region XI - Davao Region,20256.0,795810.0,39.287618483412324
2014-2015,Region XII - Soccsksargen,19633.0,747753.0,38.08653797178221
2015-2016,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,14179.0,594226.0,41.908879328584526
2015-2016,CAR - Cordillera Administrative Region,9890.0,240580.0,24.325581395348838
2015-2016,CARAGA - CARAGA,15210.0,462846.0,30.430374753451677
2015-2016,NCR - National Capital Region,36995.0,1342878.0,36.298905257467226
2015-2016,Region I - Ilocos Region,24138.0,710670.0,29.44195873726075
2015-2016,Region II - Cagayan Valley,17857.0,508000.0,28.448227585820685
2015-2016,Region III - Central Luzon,43501.0,1526198.0,35.0842049608055
2015-2016,Region IV-A - CALABARZON,49264.0,1863488.0,37.82656706722962
2015-2016,Region IV-B - MIMAROPA,17279.0,532440.0,30.81428323398345
2015-2016,Region IX - Zamboanga Peninsula,20803.0,640498.0,30.788732394366196
2015-2016,Region V - Bicol Region,33833.0,1072881.0,31.711080897348744
2015-2016,Region VI - Western Visayas,37888.0,1174910.0,31.010082347972972
2015-2016,Region VII - Central Visayas,34015.0,1161934.0,34.15945906217845
2015-2016,Region VIII - Eastern Visayas,28030.0,767641.0,27.386407420620763
2015-2016,Region X - Northern Mindanao,22845.0,759751.0,33.25677391114029
2015-2016,Region XI - Davao Region,21764.0,793645.0,36.4659529498254
2015-2016,Region XII - Soccsksargen,21475.0,742060.0,34.5545983701979
2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,15361.0,603569.0,39.292298678471454
2016-2017,CAR - Cordillera Administrative Region,9838.0,232177.0,23.60002032933523
2016-2017,CARAGA - CARAGA,15055.0,448845.0,29.813683161740286
2016-2017,NCR - National Capital Region,35993.0,1314580.0,36.523212846942464
2016-2017,Region I - Ilocos Region,24237.0,684187.0,28.229029995461485
2016-2017,Region II - Cagayan Valley,18098.0,494091.0,27.30086197369875
2016-2017,Region III - Central Luzon,43342.0,1482832.0,34.2123575284943
2016-2017,Region IV-A - CALABARZON,49530.0,1839445.0,37.13799717343024
2016-2017,Region IV-B - MIMAROPA,16982.0,515303.0,30.344070191967965
2016-2017,Region IX - Zamboanga Peninsula,20879.0,620745.0,29.730590545524212
2016-2017,Region V - Bicol Region,33594.0,1029133.0,30.634428767041733
2016-2017,Region VI - Western Visayas,38203.0,1134362.0,29.69300840248148
2016-2017,Region VII - Central Visayas,34372.0,1124520.0,32.71616431979518
2016-2017,Region VIII - Eastern Visayas,27765.0,736822.0,26.53779938771835
2016-2017,Region X - Northern Mindanao,22996.0,746691.0,32.470473125761
2016-2017,Region XI - Davao Region,22184.0,759652.0,34.24323836999639
2016-2017,Region XII - Soccsksargen,21705.0,721277.0,33.23091453582124
2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,14811.0,582384.0,39.321045169131054
2017-2018,CAR - Cordillera Administrative Region,10007.0,226959.0,22.68002398321175
2017-2018,CARAGA - CARAGA,15647.0,441211.0,28.197801495494343
2017-2018,NCR - National Capital Region,37191.0,1288400.0,34.64278992229303
2017-2018,Region I - Ilocos Region,24768.0,674560.0,27.23514211886305
2017-2018,Region II - Cagayan Valley,18420.0,492025.0,26.7114549402823
2017-2018,Region III - Central Luzon,44493.0,1477767.0,33.21347178207808
2017-2018,Region IV-A - CALABARZON,51167.0,1847009.0,36.097660601559596
2017-2018,Region IV-B - MIMAROPA,17394.0,506246.0,29.104633781763827
2017-2018,Region IX - Zamboanga Peninsula,21592.0,605859.0,28.05942015561319
2017-2018,Region V - Bicol Region,34463.0,1002149.0,29.078983257406495
2017-2018,Region VI - Western Visayas,38947.0,1113841.0,28.598890800318383
2017-2018,Region VII - Central Visayas,35385.0,1106297.0,31.26457538505016
2017-2018,Region VIII - Eastern Visayas,28516.0,719163.0,25.21963108430355
2017-2018,Region X - Northern Mindanao,23857.0,740719.0,31.04828771429769
2017-2018,Region XI - Davao Region,23257.0,749199.0,32.213914090381394
2017-2018,Region XII - Soccsksargen,22384.0,715657.0,31.971810221586846
2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,15863.0,585792.0,36.92819769274412
2018-2019,CAR - Cordillera Administrative Region,10349.0,224028.0,21.64730891873611
2018-2019,CARAGA - CARAGA,16529.0,437518.0,26.469719886260513
2018-2019,NCR - National Capital Region,36632.0,1279414.0,34.92613015942346
2018-2019,Region I - Ilocos Region,25737.0,665834.0,25.87069199984458
2018-2019,Region II - Cagayan Valley,19289.0,491983.0,25.5058841826948
2018-2019,Region III - Central Luzon,48160.0,1482305.0,30.77875830564784
2018-2019,Region IV-A - CALABARZON,55041.0,1854144.0,33.68659726385785
2018-2019,Region IV-B - MIMAROPA,17946.0,499556.0,27.83662097403321
2018-2019,Region IX - Zamboanga Peninsula,21505.0,591660.0,27.512671471750757
